timestamp_utc,engine,symbol,reason,score,metrics
2026-05-06T20:00:34.348966+00:00,orderflow,ENAUSDT,trade_notional_too_low,,tape_total=8988.12 | min=30000.0
2026-05-06T20:00:34.755594+00:00,orderflow,ICPUSDT,trade_notional_too_low,,tape_total=1557.32 | min=30000.0
2026-05-06T20:00:35.141883+00:00,orderflow,DASHUSDT,trade_notional_too_low,,tape_total=521.16 | min=30000.0
2026-05-06T20:00:47.599280+00:00,orderflow,BTCUSDT,early_score_too_low,1.8,early_score=1.8 | support_dist_bps=35.93 | imbalance=-0.749 | bid_persistence=0.0 | support_holds=0 | compression_ratio=0.34
2026-05-06T20:00:48.032887+00:00,orderflow,ETHUSDT,reward_to_r1_too_low,3.8,early_score=3.8 | support_dist_bps=29.5 | imbalance=-0.669 | bid_persistence=0.0 | support_holds=6 | compression_ratio=0.614 | reward_to_r1=0.22 | resistance_1=2347.67 | resistance_2=2357.9339672 | tp1_buffer_bps=12.0 | tp2_buffer_bps=18.0
2026-05-06T20:00:48.422659+00:00,orderflow,SOLUSDT,early_score_too_low,1.8,early_score=1.8 | support_dist_bps=37.71 | imbalance=-0.064 | bid_persistence=0.0 | support_holds=2 | compression_ratio=0.643
2026-05-06T20:00:49.047104+00:00,orderflow,TONUSDT,early_score_too_low,1.8,early_score=1.8 | support_dist_bps=76.22 | imbalance=-0.038 | bid_persistence=0.0 | support_holds=1 | compression_ratio=0.698
2026-05-06T20:00:49.465778+00:00,orderflow,ZECUSDT,early_score_too_low,1.8,early_score=1.8 | support_dist_bps=112.2 | imbalance=0.005 | bid_persistence=0.0 | support_holds=0 | compression_ratio=0.407
2026-05-06T20:00:49.996844+00:00,orderflow,LABUSDT,early_score_too_low,2.3,early_score=2.3 | support_dist_bps=315.11 | imbalance=0.052 | bid_persistence=0.0 | support_holds=0 | compression_ratio=0.456
2026-05-06T20:00:50.483965+00:00,orderflow,XRPUSDT,early_score_too_low,2.6,early_score=2.6 | support_dist_bps=29.19 | imbalance=-0.431 | bid_persistence=0.0 | support_holds=4 | compression_ratio=0.619
2026-05-06T20:00:50.880970+00:00,orderflow,DOGEUSDT,trade_notional_too_low,,tape_total=8916.15 | min=30000.0
2026-05-06T20:00:51.314419+00:00,orderflow,HYPEUSDT,trade_notional_too_low,,tape_total=14061.65 | min=30000.0
2026-05-06T20:00:51.718032+00:00,orderflow,WIFUSDT,trade_notional_too_low,,tape_total=7811.75 | min=30000.0
2026-05-06T20:00:54.013042+00:00,orderflow,TAOUSDT,trade_notional_too_low,,tape_total=18246.42 | min=30000.0
2026-05-06T20:00:54.438772+00:00,orderflow,FARTCOINUSDT,trade_notional_too_low,,tape_total=18536.5 | min=30000.0
2026-05-06T20:00:55.206157+00:00,orderflow,ADAUSDT,trade_notional_too_low,,tape_total=574.99 | min=30000.0
2026-05-06T20:00:55.615243+00:00,orderflow,NEARUSDT,trade_notional_too_low,,tape_total=2651.32 | min=30000.0
2026-05-06T20:00:56.008823+00:00,orderflow,SUIUSDT,trade_notional_too_low,,tape_total=525.83 | min=30000.0
